Vehicle_ID,Odo_Start,Odo_End,Fuel_Level,Damage_Flag
car-18,"30,179km","30,857 km",93 %,0
 CAR-12,41908km,41829,90 %,0
car-28,"100,504 km","101,678km",94%,0
car-24,"66,049km","67,079 km",7%,0
CAR-07 ,"41,765km",42647km,0.40,0
CAR-16,41155km,"41,551 km",0.41,0
CAR 22,"116,094km","117,535 km",26%,0
car-20,65104,66777,0.94,0
car-02,64700km,"64,884km",92 %,0
car-25,118063,118493,23%,0
CAR-03,68559,68669km,8 %,0
CAR-26 ,"35,207km",36212,28 %,0
CAR 07,"7,360 km","8,998km",0.66,1
CAR-06 ,87128,"87,520 km",0.28,0
car-05,49723,50754,0.4,0
car-28,"73,899 km","73,816km",98 %,0
 CAR-07,85976km,86601,0.93,0
car-09,55343km,55765,11 %,0
CAR-09,"29,202 km","30,433 km",0.13,0
 CAR-27,62263,62312km,77%,0
CAR-18,"31,793 km","33,521 km",0.4,0
car-20,53503km,"53,638km",30 %,0
car-08,"12,781 km",12400km,66 %,0
CAR-11,"53,738km",54991km,72 %,1
CAR-09,"60,487 km",62340km,0.2,0
CAR-11 ,71647,"71,934 km",0.19,0
CAR-15 ,43493km,"44,200 km",62 %,0
CAR-05,45364km,45906,26 %,1
CAR-25 ,"25,283 km","26,926 km",70 %,0
CAR 20,40031,"40,555 km",0.7,0
 CAR-23,38974,"39,285 km",96 %,0
car-02,"23,089km","23,625 km",73%,0
CAR 26,81614km,81991,0.87,0
CAR 19,"69,102 km","70,989 km",6%,0
CAR-09,"71,630 km","72,911 km",6%,1
car-19,47823km,"48,058km",0.62,0
car-13,94856,"95,289km",61%,0
CAR-01 ,"50,117 km","50,736km",0.4,0
car-11,"19,447 km","19,558km",0.5,0
 CAR-11,55082km,"55,774km",11%,1
car-10,107072km,"107,657 km",68 %,0
car-09,"57,288 km",57752,10 %,0
car-04,119995,120745km,0.41,1
CAR-04,95837,"95,953km",95%,0
CAR 26,"16,993 km",17452,91%,0
CAR 19,"95,806 km",97519,32 %,0
CAR-10,"30,359km","29,976 km",60%,0
CAR-03,"79,072km",79146,53%,0
CAR-20,"77,415km","78,842km",99 %,0
 CAR-30,"60,905 km","62,722 km",0.5,0
CAR-10 ,"113,324 km",113233km,83 %,0
CAR-25,"109,256 km","109,452 km",0.9,0
CAR-18 ,87963km,87502,0.4,1
car-13,"67,183km","69,142 km",0.2,0
CAR-18 ,22023,"23,229 km",28%,0
car-13,76889,78205,9%,0
 CAR-16,"6,624 km",7096,33%,0
 CAR-08,37888,"37,777km",0.3,0
CAR-17 ,"42,047km","42,710km",0.8,0
 CAR-29,16141km,"16,670 km",0.7,1
 CAR-19,"109,198 km",109879,0.36,0
car-08,117841km,118060km,0.89,0
CAR-24 ,78524km,78968,45%,0
car-03,"65,473km",67164,52 %,0
car-04,117975,118101,64%,0
CAR-04,89882,"91,251km",25%,0
 CAR-02,"67,889km",68044km,43%,0
car-03,"54,561km",56026,0.08,0
car-09,"106,933km","108,067 km",98 %,1
CAR-24,"70,449km",71075,90 %,0
CAR-14,54695,54379km,0.63,0
CAR-10 ,67800km,"68,531km",60%,0
 CAR-14,56425,57946km,0.39,0
CAR-22,"37,890km","38,060km",31 %,0
CAR 12,22754km,22991km,9%,0
car-01,"111,489 km",112315km,30%,1
CAR 25,"12,281km","13,150km",0.72,0
CAR-12 ,"56,038 km","57,616 km",9 %,0
 CAR-25,115934km,"117,183 km",21 %,0
CAR-14,"93,547 km",94493,51%,0
 CAR-27,"109,082km",109975,56%,1
car-17,80032,"81,431km",51%,0
CAR 15,"83,629 km","83,139 km",0.75,0
CAR 12,"27,057km","27,533 km",94%,0
CAR 15,115758,"116,556 km",0.5,0
CAR 17,20121,22049,77 %,0
CAR-11,"13,684 km",14065km,0.5,1
CAR-03 ,33942km,34744,0.5,0
CAR 25,"20,407 km","21,556 km",26%,0
