Vehicle_ID,GPS_Lat,GPS_Lon,Max_Speed_kmh,Harsh_Events
car-18,15.505045,85.73534,165 kmh,3
 CAR-12,17.1024,80.326587,92,2
car-28,26.9,81.05781,85,5
car-24,16.36,86.3787,81,4
CAR-07 ,19.9174,87.728123,97,1
CAR-16,16.70143,72.632598,121 kmh,6
CAR 22,27.18,76.668783,58,3
car-20,22.66,80.7361,58,5
car-02,22.0491,85.280652,89,0
car-25,13.0884,78.6396,176 kmh,4
CAR-03,21.822,73.659421,146 kmh,6
CAR-26 ,19.613034,79.2758,154 kmh,6
CAR 07,17.5088,76.11,51,0
CAR-06 ,23.391752,75.4864,89,4
car-05,15.283236,82.5648,177 kmh,1
car-28,12.18,84.79,95,4
 CAR-07,24.4461,73.0516,153 kmh,6
car-09,26.98,75.03,125 kmh,3
CAR-09,18.55,85.19,71,0
 CAR-27,16.1701,85.5175,64,1
CAR-18,15.83,84.61,88,4
car-20,18.99,77.990142,134 kmh,2
car-08,23.829064,83.79,129 kmh,5
CAR-11,16.542752,72.1248,51,4
CAR-09,27.93,87.987689,57,0
CAR-11 ,23.444858,73.491647,73,4
CAR-15 ,27.78,78.163439,82,5
CAR-05,17.82,82.54,124 kmh,4
CAR-25 ,12.39,79.453,43,0
CAR 20,16.6012,73.9701,126 kmh,2
 CAR-23,12.01,82.0542,159 kmh,3
car-02,17.1,87.6777,152 kmh,5
CAR 26,20.4,75.4822,176 kmh,3
CAR 19,13.8477,85.61,83,5
CAR-09,27.2112,72.29,176 kmh,6
car-19,16.36,82.072371,136 kmh,6
car-13,25.030265,86.16,78,2
CAR-01 ,22.1812,86.3925,81,3
car-11,12.944359,73.58,137 kmh,5
 CAR-11,21.45,79.261059,145 kmh,6
car-10,18.0,81.823115,134 kmh,4
car-09,23.2568,84.214447,46,4
car-04,13.561305,74.94,54,6
CAR-04,15.248625,72.010753,142 kmh,6
CAR 26,18.5557,87.1794,88,3
CAR 19,27.7739,81.92,152 kmh,3
CAR-10,15.64,86.7887,53,3
CAR-03,24.033483,72.654639,53,5
CAR-20,25.48,73.36,76,1
 CAR-30,27.171271,83.93,175 kmh,3
CAR-10 ,14.813909,72.54,120 kmh,4
CAR-25,24.63365,86.84,95,1
CAR-18 ,12.501059,82.7795,84,5
car-13,12.319,84.8807,50,5
CAR-18 ,17.089,84.8392,162 kmh,4
car-13,25.9778,72.85,77,1
 CAR-16,22.69,73.711,140 kmh,5
 CAR-08,18.0207,75.5363,96,1
CAR-17 ,15.85,87.502897,124 kmh,1
 CAR-29,22.927184,82.1515,80,5
 CAR-19,22.47,84.09,171 kmh,3
car-08,20.565476,75.57426,172 kmh,0
CAR-24 ,13.438178,85.444751,179 kmh,2
car-03,18.183095,72.11,81,0
car-04,21.187881,73.741029,52,3
CAR-04,25.56,76.19,165 kmh,6
 CAR-02,19.12,72.832163,124 kmh,2
car-03,22.077,75.322884,84,0
car-09,12.1149,74.901,169 kmh,4
CAR-24,15.181,79.808111,178 kmh,1
CAR-14,12.085014,75.793071,45,3
CAR-10 ,23.6353,79.199291,138 kmh,1
 CAR-14,25.57,78.135917,148 kmh,6
CAR-22,16.92,87.6678,161 kmh,2
CAR 12,24.6669,78.14,130 kmh,1
car-01,19.726761,81.268802,42,5
CAR 25,19.916,87.24,155 kmh,5
CAR-12 ,23.45464,86.515908,40,6
 CAR-25,13.3467,80.118882,170 kmh,1
CAR-14,20.2178,85.8475,148 kmh,0
 CAR-27,16.89,74.09,46,5
car-17,18.5096,77.7646,70,6
CAR 15,25.040023,86.1321,80,6
CAR 12,21.24,75.94,164 kmh,0
CAR 15,15.36,85.94,158 kmh,4
CAR 17,23.372041,80.65,178 kmh,1
CAR-11,24.761789,80.46,123 kmh,6
CAR-03 ,25.31,78.9845,143 kmh,0
CAR 25,21.293478,78.53,76,4
 CAR-20,21.656042,73.512863,95,1
car-27,21.99,72.38,161 kmh,6
car-03,13.100302,79.340873,136 kmh,6
car-26,25.8,83.283004,179 kmh,5
CAR-14,24.61,83.53,156 kmh,2
car-23,20.477212,77.836798,176 kmh,1
CAR-13 ,23.31,85.62,131 kmh,6
car-11,13.31,77.405571,136 kmh,2
CAR 13,25.91,77.0196,121 kmh,3
car-11,16.9955,72.51,60,3
 CAR-11,15.66,77.8238,163 kmh,4
CAR-03 ,13.553835,82.8703,121 kmh,6
car-20,15.979144,77.11,84,2
CAR-17 ,14.3164,85.55,179 kmh,6
 CAR-26,14.67,86.42,40,1
CAR 12,22.1149,77.6662,87,6
CAR-15 ,12.199333,86.19,146 kmh,2
CAR 12,13.2997,80.7622,146 kmh,0
CAR 27,13.094072,76.4931,172 kmh,4
CAR-08 ,25.932466,86.365267,164 kmh,3
car-13,19.19,85.4517,121 kmh,1
car-28,17.2,72.5906,52,1
CAR 07,13.34,87.330455,155 kmh,6
CAR-12,20.693026,82.78,74,4
CAR-05,19.9469,72.457375,153 kmh,6
CAR 05,14.7539,84.7708,161 kmh,5
CAR-27,23.051952,80.55,147 kmh,1
CAR-24,20.9615,82.802306,156 kmh,2
car-14,19.920376,76.598545,53,0
car-11,16.8711,77.311164,50,3
CAR-23 ,24.578294,75.76,81,4
CAR-23,15.9675,86.906377,169 kmh,6
car-08,23.57,75.9113,87,0
 CAR-25,25.8314,77.9394,121 kmh,3
CAR-27 ,18.2278,80.820371,42,1
 CAR-15,16.8147,84.121502,64,2
CAR-27 ,15.37,81.16,86,6
CAR 19,25.32,76.4594,149 kmh,0
CAR-23,16.706565,79.052561,68,3
CAR-17 ,15.618158,86.558023,51,2
CAR 03,23.7096,77.62,78,0
CAR-02 ,21.0314,79.74,139 kmh,4
CAR-12 ,19.993,87.491582,47,6
CAR-10 ,15.443,75.04,91,1
car-08,24.08,82.210839,148 kmh,4
CAR 05,27.8679,78.48035,140 kmh,1
CAR-21 ,26.09,86.039132,176 kmh,3
car-10,17.03,82.05,49,1
car-24,14.78,83.1923,124 kmh,3
car-30,21.55,82.332118,93,4
CAR 12,26.18,80.3069,175 kmh,2
car-10,23.67,85.95,94,1
car-06,14.26064,83.2401,165 kmh,4
CAR-17 ,25.27,87.37,53,5
CAR-10,27.2587,86.6236,80,3
car-23,20.234523,72.29,81,3
 CAR-21,18.74,80.833654,80,4
car-01,21.63,83.95,76,0
 CAR-17,16.7514,82.38,88,2
car-14,24.531757,74.28,88,6
CAR-03,16.3746,73.4665,157 kmh,6
CAR-28 ,12.74,79.656392,170 kmh,1
car-03,25.23,78.9,127 kmh,6
 CAR-26,22.3521,79.72,72,1
car-19,13.8309,81.96,144 kmh,0
CAR-27,22.79,79.048755,46,4
