Reservation_ID,Notes,Customer_Feedback
RES-00001,Scratch on windows,Good mileage
RES-00002,Bad Seats Quality,Good mileage
RES-00003,scratch on door,Good mileage
RES-00004,scratch on door,Smooth going
RES-00005,Speakers not working,Smooth going
RES-00006,Scratch on windows,Smooth going
RES-00007,Speakers not working,Smooth going
RES-00008,Contact Rahul 9876543210,Good mileage
RES-00009,Bad Seats Quality,email test@gmail.com
RES-00010,scratch on door,good service
RES-00011,Speakers not working,Good mileage
RES-00012,Speakers not working,good service
RES-00013,Contact Rahul 9876543210,Smooth going
RES-00014,Bad Seats Quality,Good mileage
RES-00015,Scratch on windows,Good mileage
RES-00016,Bad Seats Quality,email test@gmail.com
RES-00017,Contact Rahul 9876543210,Good speaker
RES-00018,Speakers not working,Smooth going
RES-00019,Speakers not working,Good speaker
RES-00020,scratch on door,Smooth going
RES-00021,Contact Rahul 9876543210,good service
RES-00022,Contact Rahul 9876543210,Good mileage
RES-00023,Speakers not working,Good speaker
RES-00024,scratch on door,email test@gmail.com
RES-00025,Speakers not working,good service
RES-00026,Bad Seats Quality,Smooth going
RES-00027,scratch on door,Good speaker
RES-00028,Scratch on windows,email test@gmail.com
RES-00029,Scratch on windows,email test@gmail.com
RES-00030,Speakers not working,Smooth going
RES-00031,Speakers not working,Good speaker
RES-00032,Bad Seats Quality,Smooth going
RES-00033,Bad Seats Quality,Good speaker
RES-00034,Scratch on windows,good service
RES-00035,Contact Rahul 9876543210,good service
RES-00036,scratch on door,Good speaker
RES-00037,Bad Seats Quality,Good speaker
RES-00038,Bad Seats Quality,Smooth going
RES-00039,Contact Rahul 9876543210,Good mileage
RES-00040,Speakers not working,good service
RES-00041,Bad Seats Quality,Good speaker
RES-00042,Scratch on windows,good service
RES-00043,Bad Seats Quality,Good speaker
RES-00044,Bad Seats Quality,Good speaker
RES-00045,Scratch on windows,good service
RES-00046,Speakers not working,email test@gmail.com
RES-00047,Speakers not working,email test@gmail.com
RES-00048,Bad Seats Quality,Good speaker
RES-00049,Scratch on windows,email test@gmail.com
RES-00050,scratch on door,Good speaker
RES-00051,scratch on door,good service
RES-00052,Bad Seats Quality,email test@gmail.com
RES-00053,scratch on door,email test@gmail.com
RES-00054,Scratch on windows,good service
RES-00055,Bad Seats Quality,Good mileage
RES-00056,Bad Seats Quality,Good mileage
RES-00057,scratch on door,Good speaker
RES-00058,Contact Rahul 9876543210,Good mileage
RES-00059,Contact Rahul 9876543210,Good mileage
RES-00060,Speakers not working,Good speaker
RES-00061,Scratch on windows,good service
RES-00062,scratch on door,Good speaker
RES-00063,scratch on door,good service
RES-00064,Contact Rahul 9876543210,email test@gmail.com
RES-00065,Speakers not working,Good mileage
